report_id,report_date,carat_weight,color_grade,clarity_grade,polish_grade,proportions_grade,symmetry_grade,cut_grade,fluorescence_grade,stone_origin,expert_id,evaluation_time_min,report_notes_length,report_sentiment,price,is_investment_grade,is_report_rejected,is_sold,days_on_market,sale_date
DR-00015,2025-08-27,0.51,3,2,2,2,2,2,2,1,4,17,88,0,5867.0,0,0,1,11,2025-09-07
DR-00016,2023-11-26,0.77,3,5,1,3,1,3,2,1,5,78,13,0,6244.0,0,0,0,714,
DR-00017,2023-08-17,0.72,4,4,3,3,1,3,1,2,5,18,26,1,5993.0,0,0,1,95,2023-11-20
DR-00018,2024-09-14,0.78,6,1,3,2,4,4,4,1,3,25,91,0,6604.0,0,0,1,49,2024-11-02
DR-00019,2024-02-02,0.88,2,6,2,2,3,3,2,1,1,46,81,0,5851.0,0,0,1,51,2024-03-24
DR-00020,2024-07-19,1.06,6,5,1,2,4,4,3,3,4,81,72,1,5102.0,0,0,1,41,2024-08-29
DR-00021,2023-11-17,0.69,3,4,1,3,1,3,2,1,2,81,85,0,5881.0,0,0,1,74,2024-01-30
DR-00022,2025-01-25,0.77,4,8,1,1,4,4,2,2,3,77,29,0,1721.0,0,0,0,288,
DR-00023,2024-02-10,0.64,4,5,2,2,2,2,4,3,3,82,19,0,4646.0,0,0,1,47,2024-03-28
DR-00024,2024-11-27,0.71,2,7,1,3,2,3,2,2,4,68,82,0,3163.0,0,0,0,347,
DR-00025,2023-11-09,1.33,2,4,2,3,1,3,1,1,2,80,96,0,21492.0,0,0,1,59,2024-01-07
DR-00026,2023-09-14,1.07,3,5,3,1,1,3,3,1,5,67,43,1,10653.0,0,0,1,55,2023-11-08
DR-00027,2024-06-08,0.41,3,7,4,4,1,4,2,1,4,99,39,1,874.0,0,0,1,118,2024-10-04
DR-00028,2023-10-10,0.63,5,2,4,1,1,4,1,3,5,110,16,1,4530.0,0,0,1,59,2023-12-08
DR-00029,2023-12-30,0.69,7,1,3,2,2,3,2,1,3,106,8,1,5648.0,0,0,0,680,
DR-00030,2024-05-25,0.48,10,8,2,3,2,3,3,1,2,101,33,1,500.0,0,0,0,533,
DR-00031,2023-06-04,0.26,7,3,2,3,3,3,1,1,3,64,79,0,794.0,0,0,1,32,2023-07-06
DR-00032,2024-08-14,0.59,6,4,1,4,2,4,1,1,4,28,21,1,2433.0,0,0,1,56,2024-10-09
DR-00033,2025-11-20,0.97,4,3,2,2,4,4,1,1,1,103,51,0,9195.0,0,0,0,1,
DR-00034,2023-05-22,0.66,4,10,1,2,1,2,1,1,5,80,86,0,665.0,0,0,1,38,2023-06-29
DR-00035,2024-06-27,0.79,5,6,2,3,1,3,4,1,5,63,43,0,3253.0,0,1,1,75,2024-09-10
DR-00036,2023-03-27,0.43,7,5,2,2,3,3,1,1,5,62,69,1,1229.0,0,0,1,72,2023-06-07
DR-00037,2023-01-24,0.56,6,6,3,1,2,3,4,1,3,96,98,1,1547.0,0,0,1,75,2023-04-09
DR-00038,2025-04-06,1.12,2,5,3,1,2,3,1,1,4,92,78,0,13706.0,0,0,1,73,2025-06-18
DR-00039,2024-07-21,0.73,5,3,2,2,3,3,4,1,4,104,78,0,6491.0,0,0,1,45,2024-09-04
DR-00040,2024-02-15,0.67,4,8,4,4,1,4,1,1,2,56,67,0,1399.0,0,0,1,72,2024-04-27
DR-00041,2025-05-01,0.59,3,7,2,4,1,4,1,1,5,57,77,0,1654.0,0,1,0,192,
DR-00042,2025-03-29,0.51,3,6,4,3,3,4,1,1,2,111,44,0,1624.0,0,0,1,57,2025-05-25
DR-00043,2023-10-29,0.41,5,8,2,1,3,3,4,1,1,56,5,1,612.0,0,0,1,107,2024-02-13
DR-00044,2023-12-24,0.76,4,6,4,2,3,4,2,3,3,95,14,0,2761.0,0,0,1,50,2024-02-12
DR-00045,2025-09-10,0.55,6,5,2,1,3,3,3,3,1,80,22,0,2093.0,0,0,1,55,2025-11-04
DR-00046,2024-07-25,0.28,7,5,3,2,2,3,1,3,2,67,50,1,613.0,0,0,1,13,2024-08-07
DR-00047,2025-01-26,0.72,6,9,2,4,3,4,4,1,1,109,21,0,755.0,0,0,1,145,2025-06-20
DR-00048,2024-07-27,0.71,5,9,2,3,2,3,3,1,3,81,55,0,1093.0,0,0,1,41,2024-09-06
DR-00049,2024-06-21,0.62,7,2,1,1,2,2,2,1,1,84,74,0,4776.0,0,0,1,46,2024-08-06
DR-00050,2024-10-22,0.61,3,3,3,2,2,3,2,1,2,114,8,0,6238.0,0,0,0,383,
DR-00051,2023-08-03,0.6,2,3,4,1,1,4,3,0,3,25,64,0,5450.0,0,0,0,829,
DR-00052,2023-09-19,0.45,9,5,2,1,2,2,1,0,2,84,34,1,1306.0,0,0,1,110,2024-01-07
DR-00053,2025-12-24,0.87,7,4,3,1,3,3,1,1,4,37,69,-1,5188.0,0,0,1,66,2026-02-28
DR-00054,2023-07-19,0.44,2,7,2,4,1,4,1,1,5,113,62,0,1196.0,0,0,1,63,2023-09-20
DR-00055,2024-05-06,0.59,9,7,4,2,2,4,2,3,4,113,91,-1,738.0,0,0,0,552,
DR-00056,2023-03-21,0.46,5,6,2,3,2,3,2,1,2,31,58,1,1334.0,0,0,1,34,2023-04-24
DR-00057,2025-08-16,1.0,4,7,2,3,1,3,1,0,4,62,53,0,4686.0,0,0,1,63,2025-10-18
DR-00058,2023-07-08,0.75,6,4,3,1,4,4,4,1,5,67,70,1,3686.0,0,1,0,855,
DR-00059,2025-11-27,0.36,4,5,3,3,2,3,1,1,4,32,73,1,1529.0,0,0,0,1,
DR-00060,2025-03-05,1.1,4,5,1,3,3,3,2,1,5,52,30,0,9867.0,0,1,1,79,2025-05-23
DR-00061,2023-02-25,0.48,5,4,1,4,2,4,1,1,1,94,29,0,1955.0,0,0,1,60,2023-04-26
DR-00062,2024-03-03,0.54,3,8,2,2,2,2,2,1,3,99,63,0,1620.0,0,0,1,63,2024-05-05
DR-00063,2023-05-23,0.45,5,3,3,4,2,4,2,3,5,57,29,0,2185.0,0,0,1,56,2023-07-18
DR-00064,2023-05-28,1.48,6,3,4,1,3,4,1,1,4,52,24,0,13379.0,0,0,1,62,2023-07-29
DR-00065,2024-03-07,0.69,3,3,1,1,4,4,3,1,5,28,26,1,6178.0,0,0,1,18,2024-03-25
DR-00066,2025-07-20,0.76,1,7,1,2,1,2,1,3,3,67,49,1,4793.0,0,0,1,58,2025-09-16
DR-00067,2025-11-12,1.3,5,3,1,3,1,3,1,0,4,77,55,0,16435.0,0,0,0,1,
DR-00068,2023-08-23,0.77,8,4,3,2,1,3,1,1,5,38,87,1,3782.0,0,0,0,809,
DR-00069,2023-12-15,1.06,5,1,2,4,4,4,3,1,3,108,50,0,13089.0,0,0,1,1,2023-12-16
DR-00070,2023-01-05,0.97,5,4,2,1,2,2,2,1,5,67,57,0,9844.0,0,0,1,57,2023-03-03
DR-00071,2025-10-22,0.6,7,2,2,1,1,2,2,1,2,35,75,0,4323.0,0,0,1,31,2025-11-22
DR-00072,2025-02-23,0.77,7,6,1,2,1,2,2,3,5,48,63,0,2696.0,0,0,0,259,
DR-00073,2023-04-02,0.64,4,7,1,1,2,2,1,1,1,36,90,1,2619.0,0,0,0,952,
DR-00074,2023-08-08,0.47,2,3,2,2,2,2,1,1,5,81,59,0,5455.0,0,0,1,1,2023-08-09
DR-00075,2024-03-17,0.87,5,6,2,1,1,2,3,1,4,35,24,0,4555.0,0,0,0,602,
DR-00076,2024-07-12,0.7,4,3,2,1,3,3,1,1,1,90,62,0,6816.0,0,0,1,22,2024-08-03
DR-00077,2024-07-31,0.42,3,7,2,2,2,2,3,0,5,44,85,0,1466.0,0,0,0,466,
DR-00078,2025-02-08,1.26,5,6,2,4,3,4,4,1,2,23,66,0,5435.0,0,0,1,114,2025-06-02
DR-00079,2025-12-12,0.83,2,5,1,1,1,1,1,1,5,117,43,1,11224.0,0,0,1,88,2026-03-10
DR-00080,2023-07-21,0.72,5,3,2,1,2,2,3,1,2,112,98,0,7601.0,0,0,0,842,
DR-00081,2025-11-30,0.54,8,7,2,4,2,4,3,1,3,79,97,0,692.0,0,0,1,116,2026-03-26
DR-00082,2024-05-23,0.67,4,6,1,2,4,4,2,1,2,117,83,1,2286.0,0,0,0,535,
DR-00083,2025-11-21,1.55,3,5,3,2,3,3,2,1,5,101,90,1,20268.0,0,0,1,39,2025-12-30
DR-00084,2023-03-15,0.39,5,1,2,2,2,2,4,3,1,113,14,0,3529.0,0,0,1,53,2023-05-07
DR-00085,2024-10-09,0.84,5,7,2,1,3,3,2,1,1,17,15,1,2720.0,0,0,1,114,2025-01-31
DR-00086,2023-12-23,0.63,2,3,2,2,1,2,1,1,2,94,75,0,8943.0,0,0,1,15,2024-01-07
DR-00087,2023-05-17,0.48,10,4,2,1,3,3,1,1,2,43,15,0,996.0,0,0,1,104,2023-08-29
DR-00088,2023-11-13,1.15,5,6,3,3,2,3,1,2,5,25,26,0,5804.0,0,0,0,727,
DR-00089,2025-04-05,0.35,4,5,2,2,1,2,1,1,4,36,7,0,1762.0,0,0,1,30,2025-05-05
DR-00090,2025-01-11,0.77,5,6,1,2,3,3,1,1,2,91,39,0,3119.0,0,0,1,38,2025-02-18
DR-00091,2025-11-05,0.52,3,5,2,2,3,3,1,1,2,93,56,1,3296.0,0,0,1,38,2025-12-13
DR-00092,2025-01-22,0.66,4,4,1,2,2,2,3,1,3,78,66,0,6155.0,0,0,1,55,2025-03-18
DR-00093,2023-01-22,0.69,6,2,2,1,1,2,2,1,1,31,40,0,6072.0,0,0,1,29,2023-02-20
DR-00094,2025-07-04,0.9,3,3,2,1,1,2,2,0,2,27,24,0,13988.0,0,0,1,52,2025-08-25
DR-00095,2025-10-30,0.84,5,7,2,1,3,3,1,1,3,64,86,0,2741.0,0,0,1,75,2026-01-13
DR-00096,2024-09-12,0.76,4,3,1,2,2,2,1,1,4,55,48,0,9147.0,0,0,1,21,2024-10-03
DR-00097,2024-09-06,0.69,1,4,2,2,2,2,2,1,2,33,20,0,9351.0,0,0,1,46,2024-10-22
DR-00098,2024-04-23,0.57,6,2,1,4,3,4,2,1,5,73,69,-1,2976.0,0,0,1,21,2024-05-14
DR-00099,2024-11-28,0.85,5,3,1,1,2,2,2,1,1,118,28,0,10025.0,0,0,1,64,2025-01-31
DR-00100,2023-10-21,0.54,5,4,2,2,2,2,4,1,4,59,15,1,3674.0,0,0,0,750,
DR-00101,2025-03-23,0.72,5,8,3,2,2,3,3,3,5,84,32,0,1729.0,0,0,1,17,2025-04-09
DR-00102,2023-10-27,0.69,5,6,2,3,2,3,3,1,1,16,65,0,2663.0,0,0,0,744,
DR-00103,2025-02-05,0.57,2,5,2,2,1,2,1,1,2,108,62,0,5194.0,0,0,1,69,2025-04-15
DR-00104,2024-12-05,0.7,4,4,2,2,2,2,1,3,1,83,78,0,6711.0,0,0,1,40,2025-01-14
DR-00105,2025-07-04,0.58,3,3,3,2,2,3,2,1,2,76,13,0,5443.0,0,0,1,49,2025-08-22
DR-00106,2025-02-02,0.47,8,3,2,1,1,2,2,1,1,104,55,0,2415.0,0,0,1,119,2025-06-01
DR-00107,2025-03-21,0.47,4,3,3,2,2,3,2,1,4,53,47,0,3562.0,0,0,0,233,
DR-00108,2024-11-03,0.5,6,3,1,4,2,4,1,3,1,85,54,0,2274.0,0,0,1,32,2024-12-05
DR-00109,2023-02-18,0.55,7,3,2,1,2,2,3,1,2,72,50,0,3579.0,0,0,1,37,2023-03-27
DR-00110,2024-07-31,0.49,6,2,1,3,1,3,2,1,1,84,37,1,2863.0,0,0,0,466,
DR-00111,2024-08-19,0.56,5,5,2,1,2,2,1,3,1,25,45,-1,3385.0,0,0,0,447,
DR-00112,2025-03-16,1.71,4,1,1,1,3,3,2,3,2,84,71,0,42094.0,0,0,1,17,2025-04-02
DR-00113,2023-05-08,1.83,8,7,2,2,2,2,1,1,3,33,13,0,8600.0,0,0,0,916,
DR-00114,2024-10-02,1.14,2,10,2,4,4,4,1,1,5,99,46,0,1391.0,0,0,1,35,2024-11-06
DR-00115,2025-06-19,0.83,3,4,2,3,1,3,3,1,5,37,65,-1,8594.0,0,0,1,74,2025-09-01
DR-00116,2025-10-08,0.4,5,4,3,4,1,4,3,3,4,39,44,1,1419.0,0,0,1,72,2025-12-19
DR-00117,2023-05-24,0.38,7,5,2,3,4,4,3,1,4,81,18,1,802.0,0,0,0,900,
DR-00118,2024-07-20,0.6,5,2,2,1,2,2,1,1,2,87,65,1,6021.0,0,0,1,17,2024-08-06
DR-00119,2024-11-13,1.07,9,5,1,2,4,4,1,0,2,75,72,-1,3942.0,0,0,0,361,
DR-00120,2023-07-12,0.45,7,5,2,3,1,3,1,1,5,83,32,0,1348.0,0,1,1,46,2023-08-27
DR-00121,2023-07-26,0.56,7,2,2,1,2,2,2,1,5,59,12,1,4171.0,0,0,1,81,2023-10-15
DR-00122,2023-09-10,0.4,4,8,2,1,2,2,2,1,5,86,39,1,821.0,0,1,1,108,2023-12-27
DR-00123,2023-03-20,0.89,8,4,1,1,2,2,1,1,2,72,17,0,5863.0,0,0,1,110,2023-07-08
DR-00124,2025-11-18,0.52,5,3,2,1,4,4,2,2,2,47,24,0,2898.0,0,0,1,43,2025-12-31
DR-00125,2025-11-24,0.59,2,5,3,2,1,3,4,1,4,116,61,1,4394.0,0,0,0,1,
DR-00126,2023-10-22,0.53,4,2,4,4,3,4,2,1,4,88,35,0,3777.0,0,0,0,749,
DR-00127,2024-05-13,0.5,4,5,2,2,3,3,2,3,5,116,39,0,2595.0,0,0,1,56,2024-07-08
DR-00128,2024-07-25,0.47,3,3,2,4,2,4,2,1,5,54,40,1,3023.0,0,0,1,74,2024-10-07
DR-00129,2023-03-27,0.33,8,5,2,2,3,3,2,3,5,78,23,0,700.0,0,0,1,117,2023-07-22
DR-00130,2025-06-26,0.37,6,3,3,3,1,3,2,1,5,73,99,0,1610.0,0,1,1,92,2025-09-26
DR-00131,2025-08-23,1.14,3,5,3,2,1,3,2,1,1,39,37,1,12003.0,0,0,0,78,
DR-00132,2023-09-07,0.42,5,3,1,4,1,4,1,1,2,33,58,1,2017.0,0,0,0,794,
DR-00133,2025-03-21,1.04,4,3,3,1,2,3,4,3,5,32,49,1,12869.0,0,0,1,63,2025-05-23
DR-00134,2025-07-01,0.68,5,4,2,2,4,4,2,1,2,58,36,1,3710.0,0,0,1,49,2025-08-19
DR-00135,2025-12-17,0.54,3,4,2,2,2,2,1,1,1,61,32,0,4719.0,0,0,0,1,
DR-00136,2025-01-08,1.25,7,5,2,3,4,4,1,1,2,25,96,0,6269.0,0,0,1,83,2025-04-01
DR-00137,2024-11-13,1.62,2,5,1,1,2,2,3,1,1,83,44,0,30148.0,1,0,1,32,2024-12-15
DR-00138,2023-07-07,0.54,5,10,2,2,2,2,2,3,1,18,56,0,500.0,0,0,1,65,2023-09-10
DR-00139,2025-04-12,1.57,6,6,1,4,4,4,3,1,5,58,89,0,6627.0,0,0,1,100,2025-07-21
DR-00140,2023-05-07,1.0,3,2,4,2,2,4,2,3,5,119,92,0,13249.0,0,0,1,82,2023-07-28
DR-00141,2024-04-08,0.9,6,3,2,2,1,2,4,1,5,44,25,0,8696.0,0,0,1,59,2024-06-06
DR-00142,2024-04-03,0.87,3,4,1,1,2,2,4,1,3,69,21,1,10908.0,0,0,0,585,
DR-00143,2024-08-15,0.89,2,4,2,1,2,2,1,1,5,87,5,0,12616.0,0,0,1,1,2024-08-16
DR-00144,2023-12-07,0.6,2,5,2,3,2,3,1,1,2,92,92,0,4469.0,0,0,0,703,
DR-00145,2023-09-30,0.6,5,2,2,2,1,2,1,1,3,42,54,1,6329.0,0,0,1,34,2023-11-03
DR-00146,2024-10-28,0.67,7,9,3,2,1,3,4,1,3,31,20,1,764.0,0,0,1,99,2025-02-04
DR-00147,2023-08-02,0.37,9,4,2,2,3,3,3,1,5,18,44,1,964.0,0,0,0,830,
DR-00148,2025-02-03,1.35,2,3,2,1,3,3,2,3,1,17,26,0,27609.0,0,0,1,39,2025-03-14
DR-00149,2025-07-07,0.74,3,3,2,4,2,4,2,1,2,39,62,1,6483.0,0,0,1,111,2025-10-26
DR-00150,2025-08-18,0.51,9,4,2,1,1,2,2,1,5,70,20,0,1976.0,0,0,1,101,2025-11-27
DR-00151,2023-09-12,0.51,3,1,2,2,1,2,2,1,1,38,24,0,7057.0,0,0,1,19,2023-10-01
DR-00152,2024-12-21,0.63,4,4,2,3,1,3,2,1,1,74,73,-1,4466.0,0,0,1,60,2025-02-19
DR-00153,2025-11-19,0.62,5,3,3,3,2,3,3,2,5,77,28,0,4898.0,0,1,1,129,2026-03-28
DR-00154,2025-08-05,0.5,6,7,2,2,2,2,3,3,5,104,38,0,1196.0,0,0,0,96,
DR-00155,2025-02-24,0.73,3,7,2,3,1,3,1,1,4,60,55,1,2950.0,0,0,1,98,2025-06-02
DR-00156,2024-10-02,1.29,8,3,4,2,1,4,2,1,2,57,48,1,8636.0,0,0,0,403,
DR-00157,2024-02-21,1.4,3,5,1,4,3,4,1,1,3,52,36,-1,13611.0,0,0,1,26,2024-03-18
DR-00158,2024-08-13,2.0,10,5,1,2,2,2,1,1,3,29,34,0,11291.0,0,0,1,110,2024-12-01
DR-00159,2023-11-26,0.49,3,9,2,2,2,2,2,3,2,30,16,0,952.0,0,0,1,68,2024-02-02
DR-00160,2025-06-01,0.93,4,4,2,2,2,2,4,1,2,52,69,-1,11037.0,0,0,1,42,2025-07-13
DR-00161,2023-12-12,0.7,2,2,2,2,1,2,3,2,2,78,30,1,11348.0,0,0,1,1,2023-12-13
DR-00162,2025-06-23,1.1,4,4,2,2,2,2,2,1,1,68,61,1,14854.0,1,0,1,79,2025-09-10
DR-00163,2023-05-20,0.7,7,2,1,2,2,2,1,1,5,105,56,1,5904.0,0,0,1,18,2023-06-07
DR-00164,2024-09-30,0.8,2,7,2,3,2,3,1,1,3,40,47,1,3964.0,0,0,1,63,2024-12-02
DR-00165,2024-04-24,0.98,7,3,1,4,4,4,2,1,2,60,30,1,5824.0,0,0,1,79,2024-07-12
DR-00166,2024-06-07,0.94,6,6,3,2,2,3,3,2,3,17,50,1,3523.0,0,0,0,520,
DR-00167,2024-04-03,0.56,4,3,2,1,2,2,2,1,4,27,91,-1,5645.0,0,0,1,54,2024-05-27
DR-00168,2025-06-02,1.06,3,1,2,1,3,3,4,1,2,82,32,-1,21240.0,0,0,1,62,2025-08-03
DR-00169,2025-10-13,0.74,6,3,1,2,1,2,4,0,2,34,62,-1,6062.0,0,0,0,27,
DR-00170,2025-10-16,2.05,2,4,2,2,3,3,1,1,3,30,42,1,41742.0,0,0,1,1,2025-10-17
DR-00171,2024-08-22,0.66,1,3,1,1,2,2,4,1,3,116,80,0,10416.0,0,0,1,35,2024-09-26
DR-00172,2024-04-21,0.91,9,5,2,1,2,2,3,0,4,59,12,0,4184.0,0,0,0,567,
DR-00173,2025-10-02,0.69,4,7,1,2,3,3,2,1,2,74,50,0,2342.0,0,0,1,70,2025-12-11
DR-00174,2024-02-12,0.91,6,7,3,2,2,3,3,1,2,109,29,1,2728.0,0,0,0,636,
DR-00175,2024-03-15,0.34,8,4,3,4,1,4,2,3,1,29,67,0,737.0,0,0,1,48,2024-05-02
DR-00176,2025-11-14,0.47,5,4,1,3,2,3,3,1,3,44,22,0,2440.0,0,0,0,1,
DR-00177,2025-09-09,0.57,5,6,2,1,1,2,3,3,3,46,29,1,2273.0,0,0,1,72,2025-11-20
DR-00178,2024-12-10,0.98,6,6,1,4,3,4,1,3,1,41,94,0,3139.0,0,0,1,72,2025-02-20
DR-00179,2024-02-26,0.73,5,6,1,2,1,2,1,1,4,28,29,1,3395.0,0,0,0,622,
DR-00180,2024-07-01,0.75,2,5,2,3,1,3,1,1,5,92,78,-1,6799.0,0,0,1,83,2024-09-22
DR-00181,2024-08-21,1.0,4,2,2,2,1,2,3,1,1,72,57,1,16040.0,1,0,1,1,2024-08-22
DR-00182,2024-03-23,0.69,3,9,1,1,2,2,1,1,2,25,69,0,1678.0,0,0,1,62,2024-05-24
DR-00183,2023-11-22,0.61,2,3,2,4,3,4,4,3,1,87,48,-1,5496.0,0,0,1,55,2024-01-16
DR-00184,2025-09-16,1.17,3,5,1,2,2,2,3,3,1,18,95,1,14725.0,1,0,1,27,2025-10-13
DR-00185,2025-08-16,0.82,8,4,4,2,3,4,1,1,4,67,91,1,3343.0,0,0,1,96,2025-11-20
DR-00186,2025-06-05,1.01,6,7,1,3,2,3,1,1,5,29,89,0,3117.0,0,1,0,157,
DR-00187,2025-04-15,0.49,4,5,2,2,4,4,1,1,5,90,49,0,2061.0,0,0,1,90,2025-07-14
DR-00188,2025-06-01,0.89,1,9,1,2,1,2,1,1,4,82,21,0,3001.0,0,0,1,44,2025-07-15
DR-00189,2024-12-27,0.96,4,5,2,2,1,2,1,2,4,119,23,0,9710.0,0,0,1,84,2025-03-21
DR-00190,2024-12-16,0.66,7,7,2,3,1,3,2,3,4,16,27,0,1371.0,0,0,1,104,2025-03-30
DR-00191,2024-03-26,0.98,4,1,3,2,2,3,1,1,1,81,26,1,16713.0,0,0,1,38,2024-05-03
DR-00192,2023-08-27,0.54,8,4,2,1,2,2,4,3,3,48,61,0,2503.0,0,0,1,67,2023-11-02
DR-00193,2023-05-06,0.51,2,7,2,3,1,3,1,1,1,80,31,0,1802.0,0,0,1,125,2023-09-08
DR-00194,2023-05-09,0.54,4,5,3,2,3,3,1,1,4,26,11,0,2979.0,0,0,0,915,
DR-00195,2025-07-02,0.47,7,4,4,2,1,4,1,1,1,38,82,-1,1399.0,0,0,0,130,
DR-00196,2025-08-28,1.1,8,10,1,2,1,2,2,0,5,73,82,0,891.0,0,0,1,64,2025-10-31
DR-00197,2024-03-14,1.31,6,4,2,1,2,2,1,1,4,25,15,0,13527.0,0,0,1,9,2024-03-23
DR-00198,2025-12-26,0.36,3,7,2,2,2,2,2,3,2,105,55,1,1052.0,0,0,1,70,2026-03-06
DR-00199,2023-10-02,0.57,4,3,3,3,1,3,2,1,5,85,82,0,4801.0,0,1,1,62,2023-12-03
DR-00200,2023-05-24,2.31,7,3,1,1,1,1,2,3,1,28,85,0,47775.0,0,0,0,900,
DR-00201,2023-12-01,0.54,5,8,1,2,1,2,1,1,1,71,15,1,1180.0,0,0,0,709,
DR-00202,2025-09-26,1.21,1,5,1,1,4,4,2,1,3,76,30,1,13792.0,0,0,0,44,
DR-00203,2025-01-18,0.94,2,3,2,2,2,2,2,0,1,94,81,-1,17065.0,0,0,1,1,2025-01-19
DR-00204,2023-02-20,0.73,7,3,2,2,3,3,1,1,4,60,29,-1,4668.0,0,0,0,993,
DR-00205,2025-02-17,0.7,7,3,2,3,2,3,1,1,1,102,59,1,4213.0,0,0,1,68,2025-04-26
DR-00206,2025-03-14,0.66,6,10,1,3,1,3,1,1,3,40,16,-1,500.0,0,0,1,102,2025-06-24
DR-00207,2025-05-06,0.44,5,5,3,1,2,3,1,1,4,78,58,1,1752.0,0,0,1,1,2025-05-07
DR-00208,2024-09-03,0.67,4,7,3,1,1,3,3,1,5,108,55,1,2322.0,0,0,0,432,
DR-00209,2025-07-24,0.72,4,5,1,3,2,3,1,1,1,87,23,0,4853.0,0,0,0,108,
DR-00210,2025-02-08,0.39,4,7,1,2,2,2,1,1,5,78,8,0,1076.0,0,0,0,274,
DR-00211,2023-02-27,0.58,5,1,1,1,3,3,1,1,1,78,68,1,5625.0,0,0,1,31,2023-03-30
DR-00212,2024-02-03,0.53,4,5,1,2,1,2,2,2,2,110,6,0,3341.0,0,0,1,10,2024-02-13
DR-00213,2023-11-01,0.88,1,10,3,1,2,3,4,1,1,116,61,-1,1319.0,0,0,1,117,2024-02-26
DR-00214,2024-08-16,0.85,6,9,1,3,1,3,4,1,3,113,87,0,1218.0,0,0,1,90,2024-11-14
DR-00215,2024-12-29,0.78,4,3,4,2,4,4,2,1,3,42,78,1,6686.0,0,0,0,315,
DR-00216,2024-10-24,0.95,5,4,3,3,2,3,3,3,5,76,53,0,7770.0,0,0,1,45,2024-12-08
DR-00217,2024-05-18,1.1,5,1,2,1,1,2,2,1,1,111,82,1,19368.0,0,0,1,67,2024-07-24
DR-00218,2023-06-06,1.19,5,6,3,2,3,3,2,3,2,86,74,0,6458.0,0,0,1,165,2023-11-18
DR-00219,2023-01-04,0.53,4,7,1,4,1,4,1,1,2,42,9,0,1163.0,0,0,1,79,2023-03-24
DR-00220,2023-06-19,1.02,4,5,2,2,1,2,2,1,2,86,40,0,10143.0,1,0,1,54,2023-08-12
DR-00221,2023-12-06,0.62,3,5,2,1,3,3,2,1,5,21,17,1,4440.0,0,1,1,47,2024-01-22
DR-00222,2023-12-30,0.33,4,4,3,2,2,3,3,3,4,87,91,1,1539.0,0,0,1,3,2024-01-02
DR-00223,2023-06-13,0.66,3,7,1,2,3,3,3,1,1,100,14,0,2638.0,0,0,1,49,2023-08-01
DR-00224,2023-03-14,0.74,4,9,1,2,3,3,3,3,2,88,45,0,1296.0,0,0,1,71,2023-05-24
DR-00225,2025-11-18,0.5,2,5,2,2,3,3,1,1,1,52,70,0,3251.0,0,0,1,32,2025-12-20
DR-00226,2023-06-20,0.81,8,3,1,2,4,4,2,1,3,54,61,-1,3874.0,0,0,1,107,2023-10-05
DR-00227,2024-08-28,0.7,6,2,2,2,2,2,1,3,2,50,68,1,6820.0,0,0,1,32,2024-09-29
DR-00228,2025-10-04,0.85,4,6,2,2,2,2,3,2,2,41,18,0,5103.0,0,0,1,79,2025-12-22
DR-00229,2025-05-12,0.97,5,3,2,2,3,3,1,3,3,22,53,0,10409.0,0,0,1,43,2025-06-24
DR-00230,2025-07-05,0.79,10,2,3,3,3,3,1,1,4,17,85,0,3329.0,0,0,0,127,
DR-00231,2023-07-17,0.39,1,5,2,1,2,2,2,3,3,83,52,0,2847.0,0,0,1,1,2023-07-18
